Time,SSID,Channel,Signal
04:16:21,HUAWEI-2.4G-C2y6,8,-65dBm
04:16:21,DIRECT-TP-BRAVIA,8,-29dBm
04:16:22,NIJI LEINE,11,-85dBm
04:16:22,NIJI LEINE_plus,11,-95dBm
